epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1,micro_f1,macro_f1,epoch_time_s,lr
1,0.507615,0.253576,0.354033,0.387684,,,,0.000000,0.000000,60.6,0.000100
2,0.363025,0.357607,0.346551,0.387684,,,,0.000000,0.000000,50.6,0.000100
3,0.362393,0.356740,0.346076,0.387684,,,,0.000000,0.000000,50.8,0.000100
4,0.360235,0.358257,0.344935,0.387684,,,,0.000000,0.000000,50.8,0.000100
5,0.359867,0.359991,0.344328,0.387684,,,,0.000000,0.000000,50.8,0.000100
6,0.359416,0.360858,0.343926,0.387684,,,,0.000000,0.000000,50.8,0.000100
7,0.358339,0.362159,0.342419,0.387684,,,,0.000000,0.000000,50.5,0.000100
8,0.358103,0.363026,0.341995,0.387684,,,,0.000000,0.000000,50.8,0.000100
9,0.357476,0.363459,0.342370,0.387684,,,,0.000000,0.000000,50.9,0.000100
10,0.357274,0.363242,0.341672,0.387684,,,,0.000000,0.000000,50.9,0.000100
11,0.357737,0.359341,0.341174,0.387684,,,,0.000000,0.000000,50.8,0.000100
12,0.356736,0.364326,0.340847,0.387684,,,,0.000000,0.000000,50.7,0.000100
13,0.355952,0.363242,0.340210,0.387684,,,,0.000000,0.000000,50.5,0.000100
14,0.356404,0.363242,0.340739,0.387684,,,,0.000000,0.000000,50.8,0.000100
15,0.355434,0.361508,0.339443,0.387684,,,,0.000000,0.000000,50.8,0.000100
16,0.354894,0.360642,0.339829,0.387684,,,,0.000000,0.000000,51.0,0.000100
17,0.354247,0.364109,0.338855,0.387684,,,,0.000000,0.000000,50.7,0.000100
18,0.354031,0.361508,0.338927,0.387684,,,,0.000000,0.000000,50.6,0.000100
19,0.355002,0.363459,0.338922,0.387684,,,,0.000000,0.000000,50.9,0.000100
20,0.353179,0.362159,0.338823,0.387684,,,,0.000000,0.000000,50.7,0.000100
21,0.351990,0.361942,0.337735,0.387684,,,,0.000000,0.000000,50.6,0.000100
22,0.352630,0.364759,0.337341,0.387684,,,,0.000000,0.000000,51.0,0.000100
23,0.351667,0.364109,0.336907,0.385950,,,,0.005566,0.001808,50.8,0.000100
24,0.350133,0.361725,0.336148,0.387684,,,,0.000000,0.000000,50.9,0.000100
25,0.351034,0.364543,0.335629,0.386817,,,,0.041591,0.013090,50.7,0.000100
26,0.350008,0.361725,0.335206,0.386817,,,,0.000000,0.000000,50.9,0.000100
27,0.349484,0.359124,0.334648,0.385950,,,,0.014774,0.004772,51.0,0.000100
28,0.348806,0.362375,0.334201,0.385082,,,,0.060391,0.018610,50.8,0.000100
29,0.347954,0.361508,0.335208,0.387684,,,,0.000000,0.000000,50.6,0.000100
30,0.347285,0.362809,0.333568,0.390286,,,,0.104007,0.030630,50.9,0.000100
31,0.347489,0.363893,0.333306,0.385950,,,,0.130471,0.037185,50.7,0.000100
32,0.347373,0.364109,0.332482,0.390286,,,,0.102564,0.030288,50.8,0.000100
33,0.346799,0.359124,0.331010,0.380746,,,,0.125612,0.035370,50.6,0.000100
34,0.346631,0.361292,0.331847,0.386817,,,,0.110831,0.032125,50.7,0.000100
35,0.345804,0.361725,0.331388,0.389419,,,,0.063773,0.019592,50.5,0.000100
36,0.345207,0.358908,0.330191,0.387684,,,,0.014760,0.004762,50.3,0.000100
37,0.345156,0.363026,0.330048,0.391154,,,,0.084922,0.025455,50.2,0.000100
38,0.344590,0.362159,0.330241,0.377277,,,,0.197119,0.051948,50.1,0.000100
39,0.345053,0.362592,0.329656,0.387684,,,,0.118928,0.034383,50.2,0.000100
40,0.343585,0.363026,0.328563,0.385950,,,,0.133333,0.037877,50.4,0.000100
41,0.342521,0.357391,0.327643,0.382480,,,,0.102780,0.029895,50.0,0.000100
42,0.343448,0.361725,0.327323,0.385082,,,,0.101523,0.032355,50.4,0.000100
43,0.342012,0.364543,0.328050,0.388552,,,,0.061566,0.021400,50.2,0.000100
44,0.342681,0.361725,0.327144,0.382480,,,,0.132353,0.040066,50.1,0.000100
45,0.342304,0.359558,0.326094,0.379879,,,,0.135179,0.040772,50.1,0.000100
46,0.342419,0.362375,0.327332,0.391154,,,,0.095808,0.031002,50.2,0.000100
47,0.342112,0.359124,0.326597,0.386817,,,,0.068301,0.023361,50.2,0.000100
48,0.341977,0.355873,0.326462,0.387684,,,,0.132678,0.040245,50.1,0.000100
49,0.339941,0.359775,0.325489,0.390286,,,,0.100769,0.032454,50.3,0.000100
50,0.340412,0.362159,0.325920,0.385950,,,,0.178233,0.051444,50.4,0.000100
51,0.339765,0.359991,0.325427,0.381613,,,,0.221219,0.060756,50.2,0.000100
52,0.340663,0.356740,0.325699,0.386817,,,,0.124069,0.038193,50.1,0.000100
53,0.338985,0.355873,0.325247,0.385082,,,,0.081174,0.026915,50.0,0.000100
54,0.338736,0.356740,0.324085,0.380746,,,,0.130903,0.042807,49.9,0.000100
55,0.338333,0.352622,0.324038,0.383348,,,,0.178404,0.053848,49.9,0.000100
56,0.338351,0.355873,0.324689,0.379879,,,,0.184783,0.057834,50.2,0.000100
57,0.338076,0.358691,0.324021,0.382480,,,,0.167866,0.056924,50.2,0.000100
58,0.338096,0.359558,0.323574,0.390286,,,,0.144737,0.053925,50.1,0.000100
59,0.337138,0.362809,0.323095,0.389419,,,,0.204019,0.074808,50.5,0.000100
60,0.337897,0.359991,0.322747,0.392021,,,,0.158576,0.059508,50.4,0.000100
61,0.337059,0.356090,0.323377,0.386817,,,,0.093750,0.042760,50.5,0.000100
62,0.335804,0.357607,0.323004,0.391154,,,,0.158962,0.061873,50.4,0.000100
63,0.335938,0.352839,0.325266,0.375542,,,,0.238828,0.083628,50.2,0.000100
64,0.336404,0.351756,0.321223,0.397225,,,,0.238918,0.080570,50.5,0.000100
65,0.335762,0.356307,0.321455,0.385082,,,,0.233184,0.078800,50.3,0.000100
66,0.335500,0.361075,0.322060,0.388552,,,,0.247059,0.071786,50.4,0.000100
67,0.336520,0.354573,0.321288,0.390286,,,,0.150573,0.066064,50.8,0.000100
68,0.333580,0.354356,0.319856,0.384215,,,,0.184834,0.065986,50.1,0.000100
69,0.334427,0.354356,0.319122,0.391154,,,,0.226272,0.080018,51.0,0.000100
70,0.334169,0.353273,0.321067,0.383348,,,,0.210445,0.080338,50.7,0.000100
71,0.333794,0.355440,0.319090,0.382480,,,,0.263233,0.086713,50.9,0.000100
72,0.334010,0.356740,0.319780,0.392888,,,,0.163961,0.065696,50.2,0.000100
73,0.332126,0.361292,0.319826,0.391154,,,,0.176090,0.073288,50.9,0.000100
74,0.333614,0.354573,0.318613,0.395490,,,,0.184566,0.072733,51.5,0.000100
75,0.331937,0.355873,0.317679,0.381613,,,,0.260619,0.084391,50.9,0.000100
76,0.331376,0.351539,0.317294,0.392021,,,,0.255474,0.090162,51.3,0.000100
77,0.331533,0.356307,0.317609,0.381613,,,,0.271307,0.088426,51.6,0.000100
78,0.332178,0.356307,0.317708,0.392021,,,,0.229135,0.083004,50.3,0.000100
79,0.331056,0.357174,0.317961,0.384215,,,,0.248356,0.088163,50.4,0.000100
80,0.330856,0.359124,0.317196,0.387684,,,,0.266187,0.092239,50.3,0.000100
81,0.331429,0.361292,0.315717,0.386817,,,,0.261372,0.091172,50.1,0.000100
82,0.331303,0.357391,0.316724,0.386817,,,,0.266187,0.092062,50.0,0.000100
83,0.330426,0.357391,0.315551,0.384215,,,,0.253480,0.090189,50.0,0.000100
84,0.329680,0.354356,0.315267,0.391154,,,,0.274964,0.094966,49.9,0.000100
85,0.329901,0.358908,0.315952,0.380746,,,,0.288703,0.102161,50.2,0.000100
86,0.329075,0.356740,0.317004,0.392888,,,,0.259205,0.096284,50.0,0.000100
87,0.327318,0.362375,0.316363,0.385950,,,,0.289916,0.105684,50.3,0.000100
88,0.328345,0.362809,0.313708,0.386817,,,,0.255507,0.088569,50.1,0.000100
89,0.327119,0.360425,0.316805,0.380746,,,,0.292887,0.105881,50.0,0.000100
90,0.328573,0.356957,0.314684,0.381613,,,,0.294944,0.100367,50.3,0.000100
91,0.327986,0.360425,0.314543,0.374675,,,,0.287690,0.104506,50.6,0.000100
92,0.327741,0.355007,0.313518,0.394623,,,,0.251479,0.101035,50.5,0.000100
93,0.326353,0.357607,0.313802,0.377277,,,,0.325866,0.112476,50.0,0.000100
94,0.327519,0.354790,0.312316,0.385082,,,,0.298674,0.109010,50.1,0.000100
95,0.325352,0.365843,0.312722,0.384215,,,,0.267054,0.108942,50.3,0.000100
96,0.326565,0.361725,0.311202,0.379011,,,,0.285313,0.093735,50.4,0.000100
97,0.325509,0.362159,0.312234,0.394623,,,,0.256259,0.094565,50.4,0.000100
